,Collection Code,Formula,Prototype
0,608910,TiAlNi,Laves(2H)#MgZn2
1,159910,TiO2,Anatase#TiO2
2,622653,Dy8Fe4.8Co11.2,MgCu2(filled)-frame
3,180903,SiO2,Cristobalite#SiO2
4,246888,MnO2,Rutile#TiO2
5,102914,Yb3.2In4Ga0.8Cu16,Laves(cub)#MgCu2
6,625882,ZrTi(CrFe)2,Mn2ZrHx-frame#MgZn2
7,620722,Ce8Fe13.6Co2.4,Laves(cub)#MgCu2
8,108587,MgZn2,Laves(2H)#MgZn2
9,89278,SiO2,Quartz(low)#SiO2
10,616290,HfBe2,SmNiSb
11,649780,Tl2Pt,CuAl2
12,638179,HfV2,MgCu2(filled)-frame
13,52468,TmSi2,AlB2
14,244053,MoO2,MoO2#VO2
15,423293,Nd2Bi,La2Sb
16,155680,Ti4Al3.998Fe4.002,Laves(2H)#MgZn2
17,615955,BaMg2,Laves(2H)#MgZn2
18,624550,Y8Co14.4Ni1.6,Laves(cub)#MgCu2
20,163332,Mn2Sb,Ni2In#Co1.75Ge
21,625896,Zr3.2Ti0.8Mn2Cr2Fe4,Laves(2H)#MgZn2
22,624236,Ta6Co16.72Mo1.28,Laves(4H)#MgNi2
23,198180,Ce1.92Pr2.08O8,Fluorite#CaF2
24,622647,DyCo2,Laves(cub)#MgCu2
25,41414,SiO2,Quartz(low)#SiO2
26,43203,Hf2S,NbS2(hP6)
28,159904,W6C3.0071,W2C1-x
29,40722,Ti0.4Nb0.8Cr0.8O4,Rutile#TiO2
30,260873,CaH2,Cotunnite#PbCl2
31,603879,NiAs2Rh3,TiNiSi#MgSrSi
32,103388,EuGa2,AlB2
33,621366,CeIn2,CeCu2
34,169637,TiO2,Rutile#TiO2
35,42135,Ca2Sb,La2Sb
37,641492,LaNi2,Laves(cub)#MgCu2
38,638637,Hf7.6Si0.4Mo16,Laves(cub)#MgCu2
39,628342,Mg7.056Cu13.56Si3.384,Mo3Al2C
40,291652,Tb8Al2.4Fe13.6,Laves(cub)#MgCu2
41,9423,CrO2,Rutile#TiO2
42,657596,Li2S,Fluorite#CaF2
43,53986,FeF2,Rutile#TiO2
45,642831,Mg2Si,Fluorite#CaF2
46,31871,B2Ru,RuB2
48,657582,NdGa2,AlB2
49,53992,FeO2,Brucite#Mg(OH)2
50,169623,TiO2,Rutile#TiO2
51,608938,U5.68Al8Ni10.32,Laves(4H)#MgNi2
52,86605,Ce0.16Y0.08Zr1.76O4,Zirconia#ZrO2(HT)
53,194786,D8V3.6Cr0.4,Fluorite#CaF2
54,291120,ZrO2,Baddeleyite#ZrO2(mP12)
55,56154,CaO2,Brucite#Mg(OH)2
56,633945,TiFe2,Laves(2H)#MgZn2
57,644515,ZrMo2,Laves(cub)#MgCu2
58,260654,SrGa2,AlB2
59,652377,TbSi2,ThSi2
60,102069,TbCd2,CaHg2
61,58192,TmAl2,Laves(cub)#MgCu2
62,105706,SrPd2,Laves(cub)#MgCu2
63,198157,Ta2B,CuAl2
64,630294,DySi2,AlB2
65,421335,GdS2,CeSe2
66,638810,HfRe2,Laves(2H)#MgZn2
67,650206,ZrRe2,Laves(2H)#MgZn2
68,658882,DyCo2,Laves(cub)#MgCu2
69,68737,MnF2,Rutile#TiO2
70,31642,CeSi2,ThSi2
71,27020,CeSe2,CeSe2
72,423244,YbSi2,ThSi2
73,155657,HoTaO4,Zirconia#ZrO2(HT)
74,56815,SmF2,SmF2
75,36139,KC2,NaHC2
76,634780,Nb4GaNi,U#Cr0.49Fe0.51
78,643508,Mn2Sb,Cu2Sb
79,85495,TiO2,Rutile#TiO2
80,609367,Zr8.4Al1.2Si2.4,CuAl2
81,291861,La1.6Pr6.4Al16,Laves(cub)#MgCu2
82,650212,ZrRe2,Laves(2H)#MgZn2
83,616247,Be2Cu,Laves(cub)#MgCu2
84,649743,TbPt2,Laves(cub)#MgCu2
85,157054,Tb6.4Ho1.6Co16,Laves(cub)#MgCu2
86,610636,HfAs2,Co2Si
87,627924,Cu2.6Hg1.4S8,Pyrite#FeS2(cP12)
88,23534,KrF2,KrF2
89,40911,Mg2Ni,Mg2NiH4(C2/c)
90,162789,Ce1.5Zr0.5O4,Zirconia#ZrO2(HT)
91,633951,TiFe2,Laves(2H)#MgZn2
92,115501,Ti1.4Cr0.6O4,CaCl2
93,44587,SmB2,AlB2
94,658100,CeNiSb,SmNiSb
95,609429,Ta2Al,U#Cr0.49Fe0.51
96,611266,AsRh2,TiNiSi#MgSrSi
97,104424,HoNi2,Laves(cub)#MgCu2
98,260668,BaCd2,CeCu2
99,633979,ZrTiFe4,Laves(2H)#MgZn2
100,56183,TiH2,Fluorite#CaF2
101,645637,Nd4Si7Ni,ThSi2
102,60431,Li2O,Fluorite#CaF2
103,41399,Bi5.2Sb0.28Te2.52Pd1.08Pt2.92,Pyrite#FeS2(cP12)
104,615766,ZrB2,AlB2
105,89287,SiO2,Quartz(high)#SiO2
106,658666,Ta0.18Cr2.82Si6,CrSi2
107,611500,TiAs2,TiAs2
108,291849,Ce3.2Nd4.8Al16,Laves(cub)#MgCu2
109,651124,TbS2,PrOI
110,607362,ErAl2,Laves(cub)#MgCu2
111,88199,D2Mg,PbO2#Fe2N.94
112,89293,SiO2,Quartz(high)#SiO2
113,657541,Mg8Si2.2Ge1.8,Fluorite#CaF2
114,168298,Nb4Al3.02Ni4.98,Laves(2H)#MgZn2
115,56829,EuBr2,SrBr2
117,29025,EuF2,Fluorite#CaF2
118,102727,YCo2,Laves(cub)#MgCu2
119,26316,Nd8Al12.8Fe3.2,Laves(cub)#MgCu2
120,615772,ZrB2,AlB2
121,634964,Tm2Ga3.5Ni0.5,CaIn2
122,259943,VSb2,CuAl2
123,643534,Mn2Sb,Cu2Sb
124,605561,Mg0.09Zn4.41Ag4.5,Ag1.5Zn1.5
125,104430,Ho8Ni5.728Ru10.272,Laves(cub)#MgCu2
126,653041,ZrTc2,Laves(2H)#MgZn2
127,77159,Mo2C,hcp(filled)#Nb2N
128,613465,Cr2B,Mg2Cu
129,19680,D7.9996O4,H2O(Ih)
130,44593,TbB2,AlB2
131,617603,La1.5Dy0.5C4,CaC2-I(I4/mmm)
132,24267,Ag2Te,Ag2Te
134,81426,D2Sr,Cotunnite#PbCl2
135,53560,Zr6.4Fe16Si1.6,Laves(cub)#MgCu2
136,649596,SnPtSe,Pyrite#FeS2(cP12)
137,635893,La2.4Gd1.6Os8,Laves(2H)#MgZn2
138,18011,SrCl2,Fluorite#CaF2
139,82649,UTe2,UTe2
140,48140,Mg6.8Cu13.896Si3.304,Mo3Al2C
141,15,Mn1.3332Cr0.6666I4,CuCl2
142,607821,GdAl2,Laves(cub)#MgCu2
144,123272,IrS2,P2I4
145,198382,UBi2,UP2#UAs2
147,759785,MgF2,CaCl2
148,605944,TmAg2,AlCr2#MoSi2
149,624752,PrCo2,Laves(cub)#MgCu2
150,258678,Zr0.96Ti3.84Mn7.2,Laves(2H)#MgZn2
151,657964,YMg2,Laves(2H)#MgZn2
152,643939,ZrMn2,Laves(2H)#MgZn2
153,634569,Lu4Ga7.4Ni0.6,CeCu2
154,645390,NbSe2,NbSe2
155,614861,Zr0.5B2Mo0.5,AlB2
156,165569,Ca4Mg6.24Al1.76,Laves(2H)#MgZn2
157,621602,CeNi2,Laves(cub)#MgCu2
158,627273,Eu2Cu,Ca2Cu
159,608290,LaAl2,Laves(cub)#MgCu2
160,646699,SmNi2,Laves(cub)#MgCu2
161,108961,AlSbO4,Rutile#TiO2
162,97278,Ti1.68Nb0.32O4,Rutile#TiO2
163,43029,SmSb2,SmSb2
165,410315,Sr2N,Sr2N
166,623773,HfCo2,Laves(cub)#MgCu2
167,26869,Si2W,AlCr2#MoSi2
168,16772,ZrSi2,ZrSi2
169,42323,Cu2Sb,Cu2Sb
170,621616,CeNi2,Laves(cub)#MgCu2
171,120021,Y8Al3.2Co12.8,Laves(cub)#MgCu2
172,52656,U8Al12.48Si3.52,Laves(cub)#MgCu2
173,84576,SnO2,Rutile#TiO2
174,625470,Ti2Co,Ti2Ni
175,635663,YbGa2,CaIn2
176,402088,SmGePt,CeCu2
177,619362,Ca2Hg,Co2Si
178,23722,MoO2,MoO2#VO2
179,637921,Si3.5Ge0.5W2,AlCr2#MoSi2
180,420229,Nb4Cr5.52Co2.48,Laves(2H)#MgZn2
181,405081,Eu4Cu3.832Sn4.168,CeCu2
182,759752,SnO2,CaCl2
183,31326,TiO2,Rutile#TiO2
184,230261,CaGe2,ZrCl(filled)#SmSI
185,632681,Zr8Fe1.44Mo14.56,Laves(cub)#MgCu2
186,250595,NbS2,NbS2(hP6)
187,642372,Li2Si,Li2Si
188,759746,SnO2,CaCl2
189,613883,Fe2B,CuAl2
191,626838,VCrSi,Laves(2H)#MgZn2
192,619376,CaIn2,CaIn2
193,108752,VSn2,Mg2Cu
194,38316,CoP2,FeAsS#CoSb2
195,57909,Hf2Al3Zn,Laves(cub)#MgCu2
196,103607,PuFe2,Laves(cub)#MgCu2
197,624791,Pu2Co,ZrNiAl#Mg2In
198,608253,ZrAlIr,Laves(2H)#MgZn2
199,656449,CaF2,Cotunnite#PbCl2
200,161914,Li0.05Mg0.95B2,AlB2
201,638390,ScNi2,MgCu2(filled)-frame
202,150511,PrPt2,Laves(cub)#MgCu2
203,24717,Zr2Si,CuAl2
204,646882,TbNi2,Laves(cub)#MgCu2
205,122839,Mg2Sn,Fluorite#CaF2
206,57921,PrHoAl4,Laves(cub)#MgCu2
207,155469,TbNdCo4,Laves(cub)#MgCu2
209,186631,FeSb2,Marcasite#FeS2(oP6)
210,39020,SiO2,Zeolite-ZSM-5(Pnma)-frame#Si96O192
211,102257,CePt2,Laves(cub)#MgCu2
212,651440,YbS2,LaS2(tP24)
213,608535,TbMnAl,Laves(cub)#MgCu2
214,637909,ThSiGe,ThSi2
215,9190,CdI2,CdI2(hP12)
216,626804,Ta3.2Cr8Si0.8,Laves(2H)#MgZn2
217,44791,CdI2,CdI2(hP3)
218,650992,SnS2,CdI2(hP3)
219,230249,Ce3.6Zr0.32Sc0.08O7.96,Fluorite#CaF2
220,60627,TaO2,NbO2
221,102243,CeOsRu,Laves(cub)#MgCu2
222,152474,Ce1.2Zr0.8O4,Zirconia#ZrO2(HT)
223,76045,CaF2,Fluorite#CaF2
224,643736,MnSn2,CuAl2
225,186625,FeSb2,Marcasite#FeS2(oP6)
226,197728,Ti2Co,Ti2Ni
227,106743,Y2Ga3.2Ni0.8,CaIn2
228,150505,NdGe2,ThSi2
229,183985,Cr0.02Sn1.98O3.988,Rutile#TiO2
230,15441,ThNi2,AlB2
231,171454,Ba4In6.56Au1.44,CeCu2
232,42519,FeGe2,CuAl2
233,41010,ZrO2,Baddeleyite#ZrO2(mP12)
234,643871,Zr4Mn5.04V2.96,Laves(2H)#MgZn2
235,57672,Dy8Al13.12Cu2.88,Laves(cub)#MgCu2
236,633428,ScFe2,Laves(2H)#MgZn2
237,622525,ZrCrCo,Laves(2H)#MgZn2
238,641900,La2Sb,La2Sb
239,607955,LaAlGe,ThSi2
240,1453,CaSi2,ThSi2
241,618875,TbC2,CaC2-I(I4/mmm)
242,161135,SiNi2,TiNiSi#MgSrSi
244,168677,HoSn2,ZrSi2
245,190872,Sr1Al0.4Ga1.6,AlB2
246,199856,Ta2N,hcp(filled)#Nb2N
247,57666,Zr8Al12.8Cr3.2,Laves(cub)#MgCu2
248,153187,Co0.8Cu3.2O8,"Co.8(Cu,Co)O2(misfit)(MO2_part)"
249,24850,UO2,Fluorite#CaF2
251,172161,ZrO2,Baddeleyite#ZrO2(mP12)
253,638227,LaH2,Fluorite#CaF2
254,184191,NdMn2,NdMn2Hx(Cmcm)
255,42525,Ta2B,CuAl2
256,99321,Ni0.2Sn1.4Sb0.4O4,Rutile#TiO2
257,42243,CdI2,CdI2(hP42)
258,252209,SnS2,BaSi2#EuGe2
259,23871,ReB2,ReB2
260,633414,ScFe2,Laves(4H)#MgNi2
261,625262,Co2Sn,Ni2In#Co1.75Ge
262,42257,CdI2,CdI2(hP18)
263,621004,CeFe2,Laves(cub)#MgCu2
264,609788,AmOs2,Laves(2H)#MgZn2
265,45538,LaAlSi,ThSi2
266,630109,Dy2Pt,TiNiSi#MgSrSi
267,638555,ZrH2,ThH2
268,184185,NdMn2,NdMn2Hx(Cmcm)
269,15469,CrCl2,CaCl2
270,42531,Co2B,CuAl2
271,57882,PrGdAl4,Laves(cub)#MgCu2
272,248523,CaSi2,EuGe2#PtTe2
273,632078,Nd1Fe0.666Ge1.334,AlB2
274,643859,UMn2,Laves(cub)#MgCu2
275,122742,D2O,H2O(Ih)
276,39168,TiO2,Rutile#TiO2
277,68441,Ag2F,Ag2F
278,28065,KCN,CaC2-IV(Fm-3m)#KCN
279,103767,LaGa2,AlB2
280,61303,DyPaO4,Fluorite#CaF2
281,195063,Cr1.36Fe0.64Sb4,Marcasite#FeS2(oP6)
282,156028,Ti4Co5.888Si2.112,Laves(2H)#MgZn2
283,650170,Th3.6U0.4Re8,Laves(2H)#MgZn2
284,611892,Ga8Pd0.2Au3.8,Fluorite#CaF2
285,52911,CeZnSi,AlB2
286,607028,Nb4.8Al4.8Cu2.4,Laves(2H)#MgZn2
287,24887,CeO2,Fluorite#CaF2
288,63272,SbO2,HgMoO4
289,626958,ZrCr2,Laves(cub)#MgCu2
290,636593,Hf2V3Ge,Laves(2H)#MgZn2
291,606450,Ce8Al1.6Fe14.4,Laves(cub)#MgCu2
292,108154,Er2AlCo3,Laves(cub)#MgCu2
293,155247,SiO2,Quartz(low)#SiO2
294,260522,Tb8Al3.6Fe12.4,Laves(cub)#MgCu2
295,76119,FeSb2,Marcasite#FeS2(oP6)
296,187301,Mn0.4Fe2Ni1.6Ge2,Ni2In#Co1.75Ge
297,624197,Zr4Mn5.76Co2.24,Laves(2H)#MgZn2
298,198221,Hf8Al13.2Ni2.8,Laves(cub)#MgCu2
299,103015,Yb3.2In4Cu16Sn0.8,Laves(cub)#MgCu2
300,634390,Ho2Ga3Ni,CeCu2
301,652015,Te6.64W4Se1.36,WTe2
302,197106,Zr1Be0.24B1.76,AlB2
303,636587,HfScGe4,ZrSi2
304,611138,As2Os,Marcasite#FeS2(oP6)
305,80843,Ti1.984O4,Rutile#TiO2
306,630848,ErNi2,Laves(cub)#MgCu2
307,641069,Ta22.44Ir7.56,U#Cr0.49Fe0.51
308,252584,SiO2,Ferrierite-frame#Si36O72
309,614726,Mn2B,CuAl2
310,103773,NpGa2,SmNiSb
311,601465,NpSb2,SmSb2
312,610568,GaAsRh4,Co2Si
313,44197,Cr0.6B2Mo0.4,AlB2
314,154603,TiO2,Anatase#TiO2
315,190127,Li2.88Ce1.12Ga8,Ce2CoSi3
316,653445,ZrW2,Laves(cub)#MgCu2
317,605603,NdAg2,CeCu2
318,57855,Nd1Al1.5Ga0.5,SmNiSb
319,643656,Ta2.4Mn8Si1.6,Laves(2H)#MgZn2
320,380398,PrO2,MnO2
322,102323,UCrCo,Laves(cub)#MgCu2
323,36501,Cs2Te,Cs2Te
325,607772,Zr8Al13.28Fe2.72,Laves(cub)#MgCu2
326,628791,CuS2,Pyrite#FeS2(cP12)
327,626964,ZrCr2,Laves(cub)#MgCu2
328,32767,HfO2,Baddeleyite#ZrO2(mP12)
329,42280,CdI2,CdI2(hR36)
330,24105,MnO2,Brucite#Mg(OH)2
331,658276,Ce4Cu0.8Si7.2,ThSi2
332,641733,LaRh2,Laves(cub)#MgCu2
333,32773,HfO2,Baddeleyite#ZrO2(mP12)
335,42294,CdI2,CdI2(hR24)
336,643124,MnNiSb,Heusler(half)#AlLiSi#MgAgAs
337,103029,LaCu2,SmNiSb
338,105458,YNi2,Laves(cub)#MgCu2
339,645233,NbPt2,MoPt2
340,652997,TbZn2,CeCu2
341,43834,Al0.15Cr0.85B2,AlB2
342,658504,Mn2.874Fe3.126As0.6P2.4,ZrNiAl#Fe2P
343,101158,HoC2,CaC2-I(I4/mmm)
344,649409,PrTe2,PrOI
345,25569,BeO2,Zn(OH)2
346,621979,CeRu2,Laves(cub)#MgCu2
347,100911,NiTe2,BaSi2#EuGe2
348,606691,U2AlCo3,Laves(2H)#MgZn2
350,56008,OsO2,Rutile#TiO2
351,41574,Ce0.2Zr3.8O8,Baddeleyite#ZrO2(mP12)
352,634145,Zr2Fe,CuAl2
353,57470,Sb2Pt,Pyrite#FeS2(cP12)
354,198786,YC2,CaC2-I(I4/mmm)
355,37384,CdI2,CdI2(hP36)
356,632252,HfFe2,Laves(cub)#MgCu2
357,102860,ZrCr2,Laves(cub)#MgCu2
358,199498,Er8Mn9.6Fe6.4,Laves(cub)#MgCu2
359,604938,CeAg2,CeCu2
360,252751,CaC2,CaC2-II(C12/c1)#ThC2
361,630451,ErFe2,Laves(cub)#MgCu2
362,8661,Mn3.72Fe1.76Co2.52B4,CuAl2
363,252745,CaC2,CaC2-II(C12/c1)#ThC2
365,196967,Ti8.6Sb3.4,Ti2Bi
366,632246,HfFe2,Laves(2H)#MgZn2
367,102874,DyFeCu,Laves(cub)#MgCu2
368,622733,ErCo2,Laves(cub)#MgCu2
369,123104,ZrO2,Zirconia#ZrO2(HT)
370,143828,Cu2O,Cuprite#Cu2O
371,58031,NdAl2,Laves(cub)#MgCu2
372,637458,GeO2,Quartz(low)#SiO2
373,108381,Sc2Ga3Cu,ZrBeSi
374,40656,NiAsSe,Pyrite#FeS2(cP12)
375,634179,ZrFe2,Laves(cub)#MgCu2
376,608680,Nb2Al,U#Cr0.49Fe0.51
377,42041,FeSe2,Marcasite#FeS2(oP6)
378,42727,FeTe2,Marcasite#FeS2(oP6)
379,100093,LaTbC4,CaC2-I(I4/mmm)
380,169025,Tb3DyAl8,Laves(cub)#MgCu2
381,44356,Ta4C1.1N0.872,NaCl(defect)
382,647829,Te2Os,Pyrite#FeS2(cP12)
383,637316,Nd1Ge1.5Rh0.5,AlB2
384,4073,CrI2,CuCl2
385,197489,Zr2Fe,CuAl2
386,198962,Nd1Al1.25Ga0.75,SmNiSb
387,623377,GdCoNi,Laves(cub)#MgCu2
388,102848,ZrTaCr4,Laves(cub)#MgCu2
389,92062,GeO2,SiO2(mP18)
390,198976,ErAu2,AlCr2#MoSi2
391,59475,InPd2,Co2Si
392,42733,La2Sb,La2Sb
393,637302,Nd1Ge1.6Pd0.4,AlB2
394,629882,DyIr2,Laves(cub)#MgCu2
395,637464,GeO2,Rutile#TiO2
396,14213,BCl2,ClO2
397,56020,OsS2,Pyrite#FeS2(cP12)
398,164273,NdMg2,Laves(cub)#MgCu2
399,68125,Mg7.056Cu13.56Si3.384,Mo3Al2C
400,198023,NpAl2,Laves(cub)#MgCu2
401,624395,NdCo2,Laves(cub)#MgCu2
402,634186,ZrFe2,Laves(cub)#MgCu2
403,633831,TbFe2,Laves(cub)#MgCu2
404,638964,HfTe2,CdI2(hP3)
405,606652,Sc8Al3.2Co12.8,Laves(cub)#MgCu2
406,1692,ZnCl2,ZnCl2
407,193176,Ce2.572Pr1.428O7.984,Fluorite#CaF2
408,610030,Co2As,ZrNiAl#Fe2P
409,608119,Hf6Al2.01Ni0.99,ZrNiAl#Mg2In
410,646510,NiSe2,Pyrite#FeS2(cP12)
411,62408,SiO2,Quartz(low)#SiO2
412,31736,KCeF4,Fluorite#CaF2
413,163291,Ag0.184Te4Au1.816,AuTe2
414,155737,NdAgSn,CaIn2
416,625921,Cr0.6Fe5.4P3,ZrNiAl#Fe2P
417,58794,KBi2,Laves(cub)#MgCu2
418,189884,Ti4Mn3.918Al4.082,Laves(2H)#MgZn2
419,610742,As2Ir,FeAsS#CoSb2
420,630492,Er8Fe13.6Ru2.4,Laves(cub)#MgCu2
421,620681,CeCo2,Laves(cub)#MgCu2
422,161492,CoSb2,FeAsS#CoSb2
423,609575,UAl2,Laves(cub)#MgCu2
425,35222,Mn4.004Bi0.022Sb1.968,Cu2Sb
426,230103,Mn12.304Ni3.696O32,Ni.5Mn1.5O4
427,51968,Lu2In,Ni2In#Co1.75Ge
429,199329,CuS2,Pyrite#FeS2(cP12)
430,654666,SiNi2,Ni2In#Co1.75Ge
431,629855,Dy2In,Ni2In#Co1.75Ge
432,36703,ZrO2,Fluorite#CaF2
433,622900,GdFeCo,Laves(cub)#MgCu2
434,102121,Ce8Cr1.872Ni14.128,Laves(cub)#MgCu2
435,51940,TiO2,Rutile#TiO2
436,76327,Ho1Cu0.66Si1.34,AlB2
437,634804,NdGa2,AlB2
438,58964,DyCd2,CaHg2
439,199467,PrRe2,Laves(2H)#MgZn2
440,246903,Cu2O,Cuprite#Cu2O
441,102647,Y3.2Sc3.2Ti1.6Co16,Laves(cub)#MgCu2
442,187659,Mn3.072Fe2.928Ge0.858P2.142,ZrNiAl#Fe2P
443,391097,Eu4In5.72Pt2.28,Laves(2H)#MgZn2
444,652559,Si2W,AlCr2#MoSi2
445,180136,Ho4Ga6.48Fe1.52,CeCu2
446,81977,SnCl2,Cotunnite#PbCl2
447,54186,CaC2,CaC2-I(I4/mmm)
448,100050,TaSi2,CrSi2
449,159125,Ti4Mn7.14Al0.86,Laves(2H)#MgZn2
450,657421,LaGa2,AlB2
451,150673,Mn3.856Pd8.144,Co2Si
452,100044,NbGe2,CrSi2
453,159131,Ti4Mn3.918Al4.082,Laves(2H)#MgZn2
454,58970,ErCdIn,CaIn2
455,104222,Hf7.2Si0.8Mo16,Laves(cub)#MgCu2
457,30400,OsO2,Rutile#TiO2
458,246917,NiS2,Pyrite#FeS2(cP12)
459,186553,BaSiAu,AlB2
460,51954,La1In1.5Ni0.5,SmNiSb
461,645757,NdRh2,Laves(cub)#MgCu2
462,644449,Zr2SiMo3,Laves(2H)#MgZn2
463,76333,CeCuGe,SmNiSb
464,104544,PuIr2,Laves(cub)#MgCu2
465,72155,CeO2,Fluorite#CaF2
466,167961,TiO2,Rutile#TiO2
467,24313,TaSe2,CdI2(hP3)
468,184422,Mn0.1Sn1.9O4,Rutile#TiO2
469,102652,Zr4.8Co16Si3.2,Laves(cub)#MgCu2
470,186552,Ba1Si1.6Au0.4,AlB2
471,423319,La4Se6.508S1.492,CeSe2
472,104223,HfTiMo4,Laves(cub)#MgCu2
473,643441,MnS2,Marcasite#FeS2(oP6)
474,199472,ErRe2,Laves(2H)#MgZn2
475,159130,Ti4Mn4.79Al3.21,Laves(2H)#MgZn2
476,291928,Ag4.008Se2,Ag2S(dis)
477,601672,U8Co3.2Ni12.8,Laves(4H)#MgNi2
478,646539,NiTeSe,BaSi2#EuGe2
479,150672,Mn2AlCu3,Laves(cub)#MgCu2
480,43389,Mn4Ni5.2Ge2.8,Laves(2H)#MgZn2
482,184423,Mn0.14Sn1.86O4,Rutile#TiO2
483,52284,BiAu2,Laves(cub)#MgCu2
484,167960,TiO2,Rutile#TiO2
485,199314,HfAl2,Laves(2H)#MgZn2
486,105883,Pu0.75Zr2.25,CaHg2
487,76332,LaCuGe,SmNiSb
488,622915,Tb2FeCo3,MgCu2(filled)-frame
489,197339,NdS2,PrOI
490,66135,Nb2P,Nb2As
491,105897,URe2,Laves(2H)#MgZn2
492,30373,SrSi2,SrSi2
493,76326,DyCuSi,AlB2
494,40694,UTe2,UTe2
495,51941,TiO2,Rutile#TiO2
496,36702,ZrO2,Zirconia#ZrO2(HT)
497,106346,Ca1Sn0.75Hg1.25,SmNiSb
498,638959,HfTe2,CdI2(hP3)
499,159124,TiMn2,Laves(2H)#MgZn2
500,100051,Li2Ga,Li2Ga
501,54187,CaC2,CaC2-II(C12/c1)#ThC2
502,607217,DyAl2,Laves(cub)#MgCu2
503,81976,PbCl2,Cotunnite#PbCl2
504,180137,Ho1Ga1.8Fe0.2,SmNiSb
505,187658,Mn3.156Fe2.844Ge0.67P2.33,ZrNiAl#Fe2P
506,391096,Eu4In5.08Pd2.92,Laves(2H)#MgZn2
507,246902,CrO2,Rutile#TiO2
508,196755,KO2,CaC2-I(I4/mmm)
509,619001,UC2,CaC2-I(I4/mmm)
510,22039,EuCl2,Cotunnite#PbCl2
511,189885,Ti4Mn3.46Al4.54,Laves(2H)#MgZn2
512,652570,YSi2,GdSi1.4
513,27141,D8Zr0.4Ta0.4Ti1.2Nb1V1,Fluorite#CaF2
514,632284,HoFe2,Laves(cub)#MgCu2
515,103216,ErFe2,Laves(cub)#MgCu2
516,633824,TbFe2,Laves(cub)#MgCu2
519,656070,Zr2Ni,CuAl2
521,636784,LaGe2,GdSi1.4
522,12688,Ti0.981Ge0.017S2,TlCdS2
523,193177,Ce2.016Pr1.984O7.952,Fluorite#CaF2
524,650415,TaRh2,Co2Si
525,28500,NbO2,NbO2
526,634187,ZrFe2,Laves(cub)#MgCu2
527,163290,Ag0.104Te4Au1.896,AuTe2
528,105115,ZrMo2,Laves(cub)#MgCu2
529,197477,AmSe2,PrOI
530,27155,NbO2,NbO2
531,622083,CeSb2,SmSb2
532,632290,HoFe2,Laves(cub)#MgCu2
533,108431,Sm3.2Er4.8Mn16,Laves(cub)#MgCu2
534,62409,SiO2,Quartz(low)#SiO2
535,34897,Gd0.188Hf3.808O8,Baddeleyite#ZrO2(mP12)
536,620694,CeCo2,Laves(cub)#MgCu2
539,638030,ThGe2,ZrSi2
540,42732,CdP2,CdP2
541,198977,YbAu2,AlCr2#MoSi2
543,164272,PrMg2,Laves(cub)#MgCu2
545,104586,UIr2,Laves(cub)#MgCu2
546,56021,As2Pt,Pyrite#FeS2(cP12)
547,52247,Zn0.2Co0.8O2,Brucite#Mg(OH)2
548,106391,Ce1Ga1.4Sn0.6,AlB2
549,637465,GeO2,Rutile#TiO2
550,192296,La4Si3.992Pt4.008,LaPtSi
551,631000,ErThRe4,Laves(2H)#MgZn2
552,106385,Ce4.8Dy3.2Fe16,Laves(cub)#MgCu2
553,638742,HfO2,ZrO2(oP12)
554,634178,ZrFe2,Laves(cub)#MgCu2
555,197488,Hf2Fe,Ti2Ni
556,651092,TaS2,NbS2(hP6)
557,42726,FeS2,Marcasite#FeS2(oP6)
558,169024,TbDyAl4,Laves(cub)#MgCu2
559,632247,HfFe2,Laves(2H)#MgZn2
560,58756,ZrBe2,SmNiSb
561,43410,TaS2,MoS2(3R)
562,630450,ErFe2,Laves(cub)#MgCu2
563,252744,CaC2,CaC2-I(I4/mmm)
564,627892,Zr4Mn5.6Cu2.4,Mn2ZrHx-frame#MgZn2
566,637459,GeO2,Quartz(low)#SiO2
567,143829,Cu2O,Cuprite#Cu2O
568,123105,ZrO2,Zirconia#ZrO2(HT)
570,625049,Ta4Co5.36Si2.64,Laves(2H)#MgZn2
571,413557,Ga2Ir,Fe3Al2Si4
572,41575,Ce0.32Zr3.68O8,Baddeleyite#ZrO2(mP12)
573,56009,IrO2,Rutile#TiO2
574,55500,CrSn2,Mg2Cu
575,651910,SnSe2,CdI2(hP3)
576,606690,UAlCo,Laves(2H)#MgZn2
577,43362,AsRh2,Fluorite#CaF2
578,252750,CaC2,CaC2-I(I4/mmm)
579,627138,Dy4Ga4.8Cu3.2,CeCu2
580,199499,Er4Mn7.2Fe0.8,Laves(2H)#MgZn2
581,102861,ZrCr2,Laves(cub)#MgCu2
582,37385,CdI2,CdI2(hR9)
583,632253,HfFe2,Laves(2H)#MgZn2
584,624431,Nd4CoSi7,ThSi2
585,68681,PNO,PON
586,198208,SnO2,Rutile#TiO2
587,105459,YNi2,Laves(cub)#MgCu2
588,236995,UGe2,UGe2
589,103028,LaCu2,SmNiSb
590,42295,CdI2,CdI2(hR24)
591,617574,DyC2,CaC2-I(I4/mmm)
592,638597,HfMn2,Laves(4H)#MgNi2
593,32772,HfO2,Baddeleyite#ZrO2(mP12)
594,607767,Zr8Al14.4Fe1.6,Laves(cub)#MgCu2
595,641054,Sn2Ir,Fluorite#CaF2
596,621978,CeRu2,Laves(cub)#MgCu2
597,101159,ErC2,CaC2-I(I4/mmm)
