,Collection Code,Formula,Prototype
8927,192599,Sr1Si1.72Pt0.28,AlB2
8928,44458,Ti0.5Nb0.5B2,AlB2
8929,88720,NiO2,CoO2
8930,43337,SiRh2,Co2Si
8931,230180,Gd2Al3Co,Laves(cub)#MgCu2
8932,180823,Ce3.6Zr0.4O8,Fluorite#CaF2
8933,622773,ErCo2,Laves(cub)#MgCu2
8934,199625,SmGa2,AlB2
8935,57815,Sm8Al9.28Fe6.72,Laves(cub)#MgCu2
8936,104074,GdMn2,Laves(cub)#MgCu2
8937,653405,ZrV2,Laves(cub)#MgCu2
8938,102405,FeCoSn,Ni2In#Co1.75Ge
8939,197608,MnInFe,Ni2In#Co1.75Ge
8940,63568,MnF2,Rutile#TiO2
8941,651212,TiS2,CdI2(hP3)
8942,630820,ErNi2,Laves(cub)#MgCu2
8943,24623,ThH2,ThH2
8944,647470,SnO2,Rutile#TiO2
8945,24145,SrSi2,SrSi2
8946,647316,PtO2,Rutile#TiO2
8947,262349,SrF2,Cotunnite#PbCl2
8948,106105,Yb2Sn,Ni2In#Co1.75Ge
8949,414084,MgIr2,Laves(2H)#MgZn2
8950,653363,TmZn2,CeCu2
8951,632789,NbFe2,Laves(2H)#MgZn2
8952,104712,LaRu2,Laves(cub)#MgCu2
8953,605125,EuAg2,CeCu2
8954,655706,Cu2Te,Cu2Te(HT)
8955,198249,Mn2GaCu3,Laves(cub)#MgCu2
8956,102377,ErCoRu,Laves(cub)#MgCu2
8957,104706,LaRh2,Laves(cub)#MgCu2
8958,92585,BeI2,SiS2(Ibam)
8959,153886,SiO2,Cristobalite#SiO2
8960,611144,TeAsOs,FeAsS#CoSb2
8962,75478,Ce0.24Zr1.76O4,Zirconia#ZrO2(HT)
8963,607726,YAlFe,Laves(2H)#MgZn2
8964,106111,SrTl2,CaIn2
8965,608415,Mg9.6Al14.4,Laves(4H)#MgNi2
8966,199631,ErAlNi,Laves(2H)#MgZn2
8967,104060,GdIr2,Laves(cub)#MgCu2
8968,57801,Ho2Al3Fe,Laves(cub)#MgCu2
8969,653411,ZrV2,Laves(cub)#MgCu2
8970,102411,UFeCo,Laves(cub)#MgCu2
8971,43684,Ge2Pt,CaCl2
8972,98080,BaO2,Ba(OH)2
8973,601419,EuGaCu,CeCu2
8974,106887,Zr4Mn1.426Cr6.574,Laves(2H)#MgZn2
8975,52789,CaSi2,CaSi2(hR6)
8976,606376,CeAl2,Laves(cub)#MgCu2
8977,57829,U4Al3Fe5,Laves(2H)#MgZn2
8978,103727,HfGa2,HfGa2
8979,68401,PNO,PON
8980,57197,LuCuGe,CaIn2
8981,428741,Mg6.256Ni16Sn25.744,PdSn2(tI48)
8982,600061,Fe2W,Laves(2H)#MgZn2
8983,626918,TiCr2,Laves(cub)#MgCu2
8984,157410,Ce2.68Zr1.32O8,Fluorite#CaF2
8985,107233,Y2Ag1.56Pb2.44,CaIn2
8986,89827,MgO2,Brucite#Mg(OH)2
8987,157404,Ce0.76Zr3.24O8,Baddeleyite#ZrO2(mP12)
8988,44699,LaSbPt,CaIn2
8989,198275,NdNiSb,SmNiSb
8990,645529,NbTe2,CdI2(hP3)
8991,27464,Tl2S,K2SO4(HT)
8992,28757,Ce2.64U1.36O8,Fluorite#CaF2
8993,380496,EuC2,CaC2-I(I4/mmm)
8994,425517,Pr4Ga4.08Si3.92,ThSi2
8995,105342,SiNi2,Ni2In#Co1.75Ge
8996,198513,ZrS2,CdI2(hP3)
8997,43690,Ge2Os,OsGe2
8998,650124,Ti0.2Re1.8Si4,AlCr2#MoSi2
8999,609051,AlPd2,Co2Si
9000,606362,CeAl2,Laves(cub)#MgCu2
9001,34418,VO2,Rutile#TiO2
9002,417228,Ca4Al4.036Ag3.964,Laves(2H)#MgZn2
9003,42565,Bi2Pd,CeAlCo
9004,183866,CeZrO4,Zirconia#ZrO2(HT)
9005,606389,CeAl2,Laves(cub)#MgCu2
9006,156097,Zr2Ti0.94Al0.06V0.06Sn0.94O8,PbO2#Fe2N.94
9007,626059,Ti4Cr5.68Ga2.32,Laves(2H)#MgZn2
9008,203006,NbFeO4,PbO2#Fe2N.94
9009,54307,Zr2Np,CaHg2
9010,30695,SiP2,Pyrite#FeS2(cP12)
9011,92552,SnO2,Rutile#TiO2
9012,424184,Al3.04Ni4Ge4.96,Fluorite#CaF2
9013,28964,SrCl2,Fluorite#CaF2
9014,174236,P2Ir,FeAsS#CoSb2
9015,40414,SrF2,Fluorite#CaF2
9016,241553,SnO2,Rutile#TiO2
9017,71811,AlO2,Diaspore#AlO(OH)
9018,638501,D2Ti,ThH2
9019,156929,ErMn2,ErMn2H2
9020,90345,Gd4Ga5.088Ge2.912,ThSi2
9021,650871,Ti1Se0.66S1.34,CdI2(hP3)
9022,24186,RuS2,Pyrite#FeS2(cP12)
9023,42203,CdI2,CdI2(hP30)
9024,291216,SiS2,SiS2
9025,42217,CdI2,CdI2(hP24)
9026,82755,Fe0.28Co0.52Cu2.12Ni1.08S8,"(Cu,Ni,Co,Fe)S2"
9027,152583,TbCo2,TbFe2
9028,142790,Hf3.9848O8,Baddeleyite#ZrO2(mP12)
9029,174222,P2Ir,FeAsS#CoSb2
9030,241221,TbCu2,CeCu2
9031,614799,B2Mo,AlB2
9032,59637,GeO2,Quartz(low)#SiO2
9033,621722,CeOs2,Laves(cub)#MgCu2
9034,611839,EuAu2,CeCu2
9035,199802,Si2Mo,CrSi2
9036,417214,Ca2Al2.308In1.692,CaIn2
9037,107582,YbGa2,SmNiSb
9038,53454,Gd1Fe0.4Si1.6,AlB2
9039,679561,B4Ru0.4W1.6,ReB2
9040,611811,ErAu2,AlCr2#MoSi2
9041,75493,Al0.2Si3.8O8,Cristobalite#SiO2
9042,95201,GdZnSi,AlB2
9043,642291,Li2S,Fluorite#CaF2
9044,57154,TiO2,VO2(HT)
9045,104935,NpMn2,Laves(cub)#MgCu2
9046,103096,Cu2Se,SmF2
9047,102388,GdFeCo,Laves(cub)#MgCu2
9048,74799,Ta1.95Mo1.05S6,MoS2(3R)
9049,75487,SiO2,Cristobalite#SiO2
9050,44882,TiO2,Anatase#TiO2
9051,619281,CaGa2,AlB2
9052,73948,Nb1.9Fe2.1O7.52F0.48,Wolframite#NiWO4
9053,87177,NaO2,CaC2-IV(Fm-3m)#KCN
9054,652928,TaV2,Laves(cub)#MgCu2
9055,18131,NbSe2,MoS2(3R)
9056,240103,Gd4Mn5.86In2.14,Laves(2H)#MgZn2
9057,41044,Ga1.956Si4.194Mo2.85,CrSi2
9058,154737,NdCo2,NdCo2
9059,613155,MnCoB,CuAl2
9060,251191,YbBr2,SrI2
9062,622388,CmO2,Fluorite#CaF2
9063,122879,Mg2Sn,Fluorite#CaF2
9065,650078,ReSeS,ReSe2
9066,617333,CeC2,CaC2-I(I4/mmm)
9067,641175,YIr2,Laves(cub)#MgCu2
9068,607646,TaAlFe,Laves(2H)#MgZn2
9069,641613,LaOs2,Laves(cub)#MgCu2
9070,608575,Zr3.2Mn8Al0.8,Laves(2H)#MgZn2
9071,647262,PbO2,Rutile#TiO2
9072,72277,TiNbO4,Rutile#TiO2
9073,247095,H2O,H2O(Ih)
9074,189224,Ti2Co,Ti2Ni
9075,645475,Nb19.2Sn28.8,Mg2Cu
9076,198329,PrSi2,ThSi2
9077,20243,Mn8Si3.6Ni12.4,Laves(cub)#MgCu2
9078,643010,Mn2Nb,Laves(2H)#MgZn2
9079,16929,EuN2,Sr(NH2)2
9080,61579,Th1.4Zr1.2U1.4O8,Fluorite#CaF2
9081,645461,NbVSi,Laves(2H)#MgZn2
9082,603434,NdFe2,Laves(cub)#MgCu2
9083,102203,LaCeOs4,Laves(cub)#MgCu2
9084,632831,ZrNbFe4,Laves(2H)#MgZn2
9085,78028,LaSi2,ThSi2
9087,641607,LaOs2,Laves(2H)#MgZn2
9088,106065,Sm2Tl,Ni2In#Co1.75Ge
9089,193268,TiO2,Rutile#TiO2
9091,616039,BaPt2,Laves(cub)#MgCu2
9092,22332,Ta2.7W0.3Se6,MoS2(3R)
9093,432123,Sr4Ga4.024Au3.976,CeCu2
9094,85833,Yb1Ge1.33Au0.67,SmNiSb
9095,26154,ZnCl2,SiS2
9096,249912,Eu1Zn0.9Ge1.1,AlB2
9098,110149,HoGa2,AlB2
9100,197740,ZrZn2,Laves(cub)#MgCu2
9101,198473,Fe1.6Ni2.4Se8,Pyrite#FeS2(cP12)
9102,77455,SiO2,Cristobalite#SiO2
9103,615518,TaB2,AlB2
9104,71024,MnF2,Rutile#TiO2
9105,643038,NdMn2,Laves(2H)#MgZn2
9106,623914,Ho3.2Zr4.8Co16,Laves(cub)#MgCu2
9107,612511,Zr2Au,CuZr2
9108,104882,TbMg2,Laves(2H)#MgZn2
9109,652135,USe2,Cotunnite#PbCl2
9110,36409,TiO2,Brookite#TiO2
9111,96,NbO2,NbO2
9112,172914,TiO2,Anatase#TiO2
9113,198315,Ce0.8Zr3.2O8,Fluorite#CaF2
9114,193240,TbCo2,Laves(cub)#MgCu2
9115,23762,PbI2,CdI2(hP15)
9116,409837,Mg2Pd,Ti2Ni
9117,629593,DyFe2,Laves(cub)#MgCu2
9118,190985,Tm4Mn5.04In2.96,Laves(2H)#MgZn2
9119,103121,ThCu2,SmNiSb
9120,16915,BaCl2,Cotunnite#PbCl2
9121,77327,FeO2,Diaspore#AlO(OH)
9122,105550,ThO2,Fluorite#CaF2
9124,197754,Pr2Au,Co2Si
9125,642454,LuNi2,Laves(cub)#MgCu2
9126,198467,Co2.4Pd1.6Se8,Pyrite#FeS2(cP12)
9127,186659,Ce3.908Sm0.092O7.954,Fluorite#CaF2
9128,103647,TbFe2,Laves(cub)#MgCu2
9129,122851,Mg2Sn,Fluorite#CaF2
9130,57949,LaYbAl4,Laves(cub)#MgCu2
9131,38356,PRh2,Fluorite#CaF2
9132,619336,CaH2,Cotunnite#PbCl2
9133,9852,TiO2,Anatase#TiO2
9134,108921,CdI2,CdI2(hP24)
9135,611781,DyAu2,AlCr2#MoSi2
9136,630997,ErRe2,Laves(2H)#MgZn2
9137,42411,CdI2,CdI2(hP42)
9138,612288,Sb2Au,Pyrite#FeS2(cP12)
9139,26183,Nb2Se,Nb2Se
9140,623733,TbCo2,MgCu2(filled)-frame
9141,625342,TaCo2,Laves(cub)#MgCu2
9142,641808,LaS2,PrOI
9143,110808,Ce1Al1.62Sn0.38,AlB2
9144,607849,GdAl2,Laves(cub)#MgCu2
9146,627541,Sm4Ga4.8Cu3.2,CeCu2
9147,104869,Mg2Sn,Fluorite#CaF2
9148,623727,ScCo2,MgCu2(filled)-frame
9149,624048,LuCo2,Laves(cub)#MgCu2
9150,91885,CaO2,Brucite#Mg(OH)2
9151,80750,BaO2,CaC2-I(I4/mmm)
9152,648838,PdSe2,PdS2
9153,626139,HfCr2,Laves(cub)#MgCu2
9154,24780,TiO2,Rutile#TiO2
9155,630983,ErPt2,Laves(cub)#MgCu2
9156,103690,Zr2V3Fe,Laves(cub)#MgCu2
9158,103848,NdGa2,AlB2
9159,643945,ZrMn2,Laves(2H)#MgZn2
9160,57746,Dy8Al4.8Fe11.2,Laves(cub)#MgCu2
9161,169449,Mg3.44Zr0.56H8,Fluorite#CaF2
9162,621118,CeGa2,AlB2
9163,607861,GdAl2,Laves(cub)#MgCu2
9164,32874,Sr4H3.9136F4.0856,Fluorite#CaF2
9165,609694,Zr2Al,Ni2In#Co1.75Ge
9166,15213,Ag2Se,Ag2Se
9167,242112,Mg6.8Mn1.2Si4,Fluorite#CaF2
9168,61592,CeThO4,Fluorite#CaF2
9169,58307,LaAg5,Laves(2H)#MgZn2
9170,624074,Mg4Zn3.2Co4.8,Laves(2H)#MgZn2
9171,28838,Pb2O,Cuprite#Cu2O
9172,632616,Zr4Mn2.64Fe5.36,Laves(2H)#MgZn2
9173,622405,CmO2,Fluorite#CaF2
9174,61586,ThO2,Fluorite#CaF2
9175,639743,HoSi2,GdSi1.4
9176,53252,Er1Cu0.66Ge1.34,AlB2
9177,656384,SmSb2,SmSb2
9178,242106,TiO2,Anatase#TiO2
9179,643951,ZrMn2,Laves(2H)#MgZn2
9180,622834,ErCoNi,Laves(cub)#MgCu2
9181,197218,Hf0.8B2Mo0.2,AlB2
9182,37529,DyCo2,Laves(cub)#MgCu2
9183,625183,SmCo2,Laves(cub)#MgCu2
9184,86692,ZrO2,Baddeleyite#ZrO2(mP12)
9185,609469,TbAl2,Laves(cub)#MgCu2
9186,12959,MnSe2,Pyrite#FeS2(cP12)
9187,109140,CaPt2,Laves(cub)#MgCu2
9188,608011,SmAlGe,ThSi2
9189,141886,MnTe2,Pyrite#FeS2(cP12)
9190,647706,P2Os,Marcasite#FeS2(oP6)
9191,100164,Zr2AlCr3,Laves(2H)#MgZn2
9192,24555,Sr2.475Bi6.525,Ca2Bi7O12.5
9193,631690,EuZnSn,CeCu2
9194,58850,RbBi2,Laves(cub)#MgCu2
9195,198895,CeErC4,CaC2-IV(Fm-3m)#KCN
9196,172294,SiO2,Coesite#SiO2
9197,614438,Hf0.5Nb0.5B2,AlB2
9198,645111,Nb2SiNi3,Laves(2H)#MgZn2
9199,58688,EuGa2,CeCu2
9200,36151,CdO2,Pyrite#FeS2(cP12)
9201,142343,Co0.306Ru1.694O4,Rutile#TiO2
9202,181308,SiO2,PdF2(cP12)
9203,634924,Sm2Ga3.5Ni0.5,CaIn2
9204,186467,Ce0.1Zr1.9O4,Zirconia#ZrO2(HT)
9205,623280,GdCo2,Laves(cub)#MgCu2
9207,165924,TiO2,Rutile#TiO2
9208,619108,YC2,CaC2-I(I4/mmm)
9209,631684,SrEuSi4,ThSi2
9210,107,Te2I,Te2Br
9211,622820,ErCo2,MgCu2(filled)-frame
9212,402584,NaSe2,Na2S4
9213,26430,SiO2,Quartz(high)#SiO2
9214,94282,MgF2,PdF2(cP12)
9215,102001,YbCdIn,CaIn2
9216,66014,AgF2,AgF2
9217,108262,CePt2,Laves(cub)#MgCu2
9218,53087,CoSiW,Laves(2H)#MgZn2
9219,610104,CoAsS,Pyrite#FeS2(cP12)
9220,26418,ZrI2,MoTe2
9221,199209,Mn4Co4.4Si3.6,Laves(2H)#MgZn2
9223,196884,Er8Mn6.4Fe9.6,Laves(cub)#MgCu2
9224,652451,TmSi2,AlB2
9225,57587,CeScAl4,Laves(cub)#MgCu2
9226,197542,Zr2Co,CuAl2
9227,648409,PuPb2,HfGa2
9228,291835,PrHo3Al8,Laves(cub)#MgCu2
9229,25663,LaSi2,ThSi2
9230,262771,SnO2,Rutile#TiO2
9231,291821,Dy3.2Er4.8Al16,Laves(cub)#MgCu2
9232,37267,D2Yb,Cotunnite#PbCl2
9233,643548,ScMn2,Laves(2H)#MgZn2
9234,189768,Eu4Mg0.408Ga7.592,CeCu2
9235,57593,Ce1.2Y6.8Al16,Laves(cub)#MgCu2
9236,652445,Ti1.8Si6W1.2,CrSi2
9237,198103,NiS2,Pyrite#FeS2(cP12)
9238,23574,Ti2O,CdI2(hP3)
9239,646356,NiS2,Pyrite#FeS2(cP12)
9240,638677,HfNbSi,Laves(2H)#MgZn2
9241,617694,EuC2,CaC2-I(I4/mmm)
9242,53078,Th1Co0.5Si1.5,AlB2
9243,52366,MgBr2,CdI2(hP3)
9244,658183,Mg0.12Ta0.09Cr2.79Si6,CrSi2
9245,42175,CdI2,CdI2(hP27)
9246,621326,CeRu2,MgCu2(filled)-frame
9247,94255,MgB2,AlB2
9248,38801,Be0.9Si5.1Mo3,CrSi2
9249,57578,LaCeAl4,Laves(cub)#MgCu2
9250,174626,Mn2.9358Fe3.0552Si1.5P1.5,ZrNiAl#Fe2P
9251,624538,U8Co2.72Ni13.28,Laves(4H)#MgNi2
9252,69496,TaS2,NbS2(SmS)1.19_misfit(NbS2_part)
9253,199590,HoCo2,MgCu2(filled)-frame
9254,79685,Ta2FeO6,Ta2FeO6
9255,42613,CoAs2,FeAsS#CoSb2
9256,610845,Mn2As,Cu2Sb
9257,193903,TbPr3Al8,Laves(cub)#MgCu2
9258,150948,Zr4V4.8Co3.2,Laves(2H)#MgZn2
9259,628302,LuCu2,CeCu2
9260,638111,Zr3.64V0.36Ge8,ZrSi2
9261,42607,P2Ru,Marcasite#FeS2(oP6)
9262,24582,H2S,Fluorite#CaF2
9263,45168,SiO2,Coesite#SiO2
9264,620992,CeFe2,Laves(cub)#MgCu2
9265,625632,YCo2,Laves(cub)#MgCu2
9266,58887,Ca1Cu0.8Ge1.2,AlB2
9267,56672,SnO2,Rutile#TiO2
9268,198842,CrCoAs,ZrNiAl#Fe2P
9269,105975,YRh2,Laves(cub)#MgCu2
9270,10141,VO2,Rutile#TiO2
9272,637550,SmGePd,CeCu2
9273,640900,PIrS,Pyrite#FeS2(cP12)
9274,52372,FeS2,Pyrite#FeS2(cP12)
9275,108289,Co2Ge,Ni2In#Co1.75Ge
9276,180943,Pr8Fe2.8Co13.2,Laves(cub)#MgCu2
9277,105785,Sc2Pt,TiNiSi#MgSrSi
9278,121633,TiO2,Anatase#TiO2
9279,44538,Pu0.5Np0.5B2,AlB2
9280,638893,Hf5Sc3Si4,CuAl2
9281,609496,ThAl2,SmNiSb
9282,166578,Cu2S,Cu2S(HT)
9283,64830,FeCl2,CdCl2(3R)
9284,89238,NbS2,NbS2(oS6)
9285,57544,CaLaAl4,Laves(cub)#MgCu2
9286,652492,VSi2,CrSi2
9287,624504,Ta4CoNi,CuAl2
9288,102954,GdCuSi,SmNiSb
9289,622175,CeSi2,ThSi2
9290,102798,Tl2Au,CuAl2
9291,230792,Cr0.05Sn1.918Ru0.032O4,Rutile#TiO2
9292,624510,Co0.5Ni0.5Te2,BaSi2#EuGe2
9293,5271,PbF2,Fluorite#CaF2
9294,103486,Gd8Mn3.2Fe12.8,Laves(cub)#MgCu2
9295,28384,CdI2,CdI2(hP39)
9297,254200,TcO2,MoO2#VO2
9298,150960,CeMg2,Laves(cub)#MgCu2
9299,626307,Zr3.2Ti0.8Mn3.6Cr4.4,Laves(2H)#MgZn2
9300,53736,Nd1Ge1.5Rh0.5,AlB2
9301,169887,Re2N,Re2N
9302,651831,ScTc2,Laves(2H)#MgZn2
9303,182198,Ce0.4Pr3.6O8,Fluorite#CaF2
9304,626461,U4Cr0.6Ni7.4,Laves(2H)#MgZn2
9305,157969,CuO2,"((Sr,Ca)4Cu4O6).7(CuO2)2"
9306,624276,NbCo2,Laves(cub)#MgCu2
9307,105791,Sn2Pt,Fluorite#CaF2
9308,152811,Fe2N,Fe2N-zeta
9309,53068,CoS2,Pyrite#FeS2(cP12)
9310,160125,Ti4Mn4.818V3.182,Laves(2H)#MgZn2
9311,412988,HgI2,HgI2(oS12)
9312,603829,Fe2B,CuAl2
9313,59545,Tb2In,Ni2In#Co1.75Ge
9314,56676,SnO2,CaCl2
9315,2526,CrP2,OsGe2
9316,241153,Sr1Al1.58Ge0.42,AlB2
9317,291602,CrO2,NaCl(defect)
9318,42603,FeAs2,Marcasite#FeS2(oP6)
9319,15983,ZrO2,Baddeleyite#ZrO2(mP12)
9320,150958,Ga2Au,Fluorite#CaF2
9321,34795,Ce2.8Pr0.6Eu0.6O8,Fluorite#CaF2
9322,638115,Ge2W,Co2Si
9323,637226,Nb2Ni3Ge,Laves(2H)#MgZn2
9324,24592,SiSe2,SiS2(Ibam)
9325,96320,Zr4V4.68Co3.312,Laves(2H)#MgZn2
9326,193907,TbPr3Al8,Laves(cub)#MgCu2
9327,199594,ErNi2,MgCu2(filled)-frame
9329,623535,CoGeMo,Laves(2H)#MgZn2
9330,165049,Ce1.3Zr0.7O4,Zirconia#ZrO2(HT)
9331,167886,Yb4Si6.64Ag1.36,ThSi2
9332,42171,CdI2,CdI2(hP30)
9333,54713,CrSb2,Marcasite#FeS2(oP6)
9334,44500,ThGe2,ThSi2
9335,624272,NbCo3,Laves(4H)#MgNi2
9336,94279,MgF2,CaCl2
9338,622603,DyCo2,Laves(cub)#MgCu2
9339,180953,PbF2,Fluorite#CaF2
9340,603815,CeNi2,Laves(cub)#MgCu2
9341,53054,CoSi4Ni,Fluorite#CaF2
9342,169883,Re2N,Re2N
9343,53732,Nd1Ge1.6Pd0.4,AlB2
9344,428382,PNO,Coesite#SiO2
9345,150964,GdFe2,Laves(cub)#MgCu2
9346,45150,Ta1.76Mn0.48Nb0.52Fe0.72Sn0.52O8,PbO2#Fe2N.94
9347,629030,CuSe2,Pyrite#FeS2(cP12)
9348,66789,ZrO2,Zirconia#ZrO2(HT)
9349,642849,Mg2Sn,Laves(cub)#MgCu2
9350,230796,La0.04Sn1.96O4,Rutile#TiO2
9351,642691,MgNi2,Laves(4H)#MgNi2
9352,624514,Co0.5Ni0.5Te2,BaSi2#EuGe2
9353,189977,PbO2,MnO2
