,Name,Importances
19,(e1_Column-e2_Row)/e1_Column,0.10560977145991726
18,e2_NpValence/e2_NUnfilled,0.10390403847638519
17,(e2_NpValence-e2_NUnfilled)/e2_NpValence,0.10086317444173931
16,(e1_Column+e2_Row)/e1_Column,0.09764527849751425
15,(e2_NpValence+e2_NUnfilled)/e2_NpValence,0.09578780502603475
14,e1_Column/e2_Row,0.09422765328726664
13,(e1_CovalentRadius-e2_CovalentRadius)/e1_CovalentRadius,0.03227987935359899
12,(e1_Electronegativity-e2_Electronegativity)/e1_Electronegativity,0.03190447317916915
11,(e1_NsValence-e2_NpValence)/e1_NsValence,0.03179184437851133
10,e1_CovalentRadius/e2_CovalentRadius,0.03138945088706248
9,(e1_CovalentRadius+e2_CovalentRadius)/e1_CovalentRadius,0.031271015629120893
8,(e2_NValence+e2_NdUnfilled)/e2_NValence,0.031113536301245782
7,(e1_MeltingT+e2_MeltingT)/e1_MeltingT,0.029546166777062444
6,(e1_NsValence+e2_NpValence)/e1_NsValence,0.02906983060790924
5,(e1_MeltingT-e2_MeltingT)/e1_MeltingT,0.028570320376233204
4,e1_MeltingT/e2_MeltingT,0.028113986976359466
3,e1_Row/e2_Column,0.026983383088581836
2,e1_NsValence/e2_NpValence,0.024020737916986726
1,e1_NsUnfilled/e2_NpValence,0.023034612865399807
0,e1_Column/e1_Row,0.022873040473901252
