,Name,Importances
8,e1_CovalentRadius/e2_CovalentRadius,0.18985663959909346
7,(e1_CovalentRadius+e2_CovalentRadius)/e1_CovalentRadius,0.17717464714601833
6,(e2_NdValence+e2_NpUnfilled)/e2_NdValence,0.10385731374138937
5,(e1_Column+e2_Column)/e1_Column,0.10141827390106459
4,e1_Electronegativity/e2_Electronegativity,0.09610757345806967
3,e1_Column/e2_Column,0.09439699875183631
2,(e1_Electronegativity+e2_Electronegativity)/e1_Electronegativity,0.09414159843012779
1,(e2_NValence+e2_NpUnfilled)/e2_NValence,0.08444878207632656
0,max_ionic_char,0.05859817289607393
