CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
55154	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55155	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55156	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55157	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55158	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55159	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55160	P 63/m m c	Rb2 Te	Ni2In#Co1.75Ge	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	2	293.00	2004	-1	
55883	F m -3 m	Cm H2	Fluorite#CaF2	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	4	293.00	2003	-1	
55885	P 4/n m m S	Cm S2	PrOI	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	2	293.00	2003	-1	
55887	P 4/n m m S	Cm Se2	PrOI	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	2	293.00	2003	-1	
55889	P 4/n m m S	Cm Te2	PrOI	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	2	293.00	2003	-1	
55896	F m -3 m	Cm O2	Fluorite#CaF2	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	4	293.00	2003	-1	
55899	I 41/a m d S	Cm Si2	ThSi2	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	4	293.00	2003	-1	
55902	F d -3 m S	Cm Pt2	Laves(cub)#MgCu2	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	8	293.00	2003	-1	
55904	F d -3 m S	Cm Ir2	Laves(cub)#MgCu2	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	8	293.00	2003	-1	
55905	F d -3 m S	Cm Rh2	Laves(cub)#MgCu2	Crystal structures of curium compounds: an ab initio study	Journal of Nuclear Materials (2003) 322,  p. 165-179	8	293.00	2003	-1	
56506	P 42/m n m	Mg F2	Rutile#TiO2	Quantum-mechanical Hartree-Fock self-consistent-field study of the elastic constants and chemical bonding of Mg F2 (sellaite)	Physical Review B: Condensed Matter and Materials Physics (1991) 44,  p. 3509-3517	2	293.00	1991	-1	
56608	P 1	Si O2	SiO2(aP9)	High-pressure four-coordinated structure of Si O2	Physical Review B: Condensed Matter and Materials Physics (1997) 56,  p. 10878-10881	3	293.00	1997	-1	
56684	P n c 2	Si O2		Orthorhombic quartzlike polymorph of silica: a molecular- dynamics simulation study	Physical Review B: Condensed Matter and Materials Physics (1997) 55,  p. 721-725	12	300.00	1997	-1	
66650	P 42/m n m	Ti O2	Rutile#TiO2	Structural and electronic properties of titanium dioxide	Physical Review B: Condensed Matter and Materials Physics (1992) 46,  p. 1284-1298	2	293.00	1992	-1	
67117	P 31 2 1	Si O2	Quartz(low)#SiO2	Calculation of the anisotropic thermal parameters of the atoms of alpha-quartz	Doklady Akademii Nauk SSSR (1989) 306,  p. 1384-1386	3	293.00	1989	-1	
69331	P 42/m n m	Ti O2	Rutile#TiO2	Electronic and structural properties of TiO2 in the rutile structure	Solid State Communications (1990) 76, (5) p. 635-638	2	293.00	1990	-1	
70005	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
70006	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
70007	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
70016	P a -3	Si O2	PdF2(cP12)	First principles methods for structural trends in oxides: applications to crystalline silica	Journal of Alloys and Compounds (1993) 197,  p. 137-144	4	293.00	1993	-1	
71392	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
71393	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
71394	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
71395	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
71396	P 32 2 1	Si O2	Quartz(low)#SiO2	Pressure dependence of the structural properties of alpha quartz near the amorphous transition	Physical Review B: Condensed Matter and Materials Physics (1991) 44, (2) p. 489-497	3	293.00	1991	-1	
71499	I 4/m m m	Cr Si2	AlCr2#MoSi2	Calculated structural properties of CrSi2, MoSi2 and WSi2	Physical Review B: Condensed Matter and Materials Physics (1992) 45, (7) p. 3252-3259	2	293.00	1992	-1	
71500	I 4/m m m	Mo Si2	AlCr2#MoSi2	Calculated structural properties of CrSi2, MoSi2 and WSi2	Physical Review B: Condensed Matter and Materials Physics (1992) 45, (7) p. 3252-3259	2	293.00	1992	-1	
71501	I 4/m m m	W Si2	AlCr2#MoSi2	Calculated structural properties of CrSi2, MoSi2 and WSi2	Physical Review B: Condensed Matter and Materials Physics (1992) 45, (7) p. 3252-3259	2	293.00	1992	-1	
71502	P 62 2 2	Cr Si2	CrSi2	Calculated structural properties of CrSi2, MoSi2 and WSi2	Physical Review B: Condensed Matter and Materials Physics (1992) 45, (7) p. 3252-3259	3	293.00	1992	-1	
71503	P 62 2 2	Mo Si2	CrSi2	Calculated structural properties of CrSi2, MoSi2 and WSi2	Physical Review B: Condensed Matter and Materials Physics (1992) 45, (7) p. 3252-3259	3	293.00	1992	-1	
71504	P 62 2 2	W Si2	CrSi2	Calculated structural properties of CrSi2, MoSi2 and WSi2	Physical Review B: Condensed Matter and Materials Physics (1992) 45, (7) p. 3252-3259	3	293.00	1992	-1	
72018	P 6/m m m	Y Si2		The effect of silicon vacancies on the electronic structure of yttrium disilicide	Journal of Physics: Condensed Matter (1992) 4,  p. 5399-5404	4	293.00	1992	-1	
73071	P 32 2 1	Si O2	Quartz(low)#SiO2	First principles methods for structural trends in oxides: applications to crystalline silica	Journal of Alloys and Compounds (1993) 197,  p. 137-144	3	293.00	1993	-1	
73072	P 62 2 2	Si O2	Quartz(high)#SiO2	First principles methods for structural trends in oxides: applications to crystalline silica	Journal of Alloys and Compounds (1993) 197,  p. 137-144	3	293.00	1993	-1	
73073	P 42/m n m	Si O2	Rutile#TiO2	First principles methods for structural trends in oxides: applications to crystalline silica	Journal of Alloys and Compounds (1993) 197,  p. 137-144	2	293.00	1993	-1	
74529	P 31 2 1	Si O2	Quartz(low)#SiO2	Crystal-structure calculation with distorted ions	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 2889-2908	3	293.00	1993	-1	
74530	P 41 21 2	Si O2	α−Cristobalite#SiO2	Crystal-structure calculation with distorted ions	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 2889-2908	4	293.00	1993	-1	
74531	P 42/m n m	Si O2	Rutile#TiO2	Crystal-structure calculation with distorted ions	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 2889-2908	2	293.00	1993	-1	
74532	P 42/m n m	Ti O2	Rutile#TiO2	Crystal-structure calculation with distorted ions	Physical Review B: Condensed Matter and Materials Physics (1993) 48,  p. 2889-2908	2	293.00	1993	-1	
75476	P m n n	Si O2	Ferrierite(oP)-frame#Si36O72	A synchrotron X-ray diffraction, neutron diffraction, 29(Si) MAS-NMR, and computational study of the siliceous form of zeolite ferrierite	Journal of the American Chemical Society (1994) 116,  p. 11849-11855	36	293.00	1994	-1	
75647	I -4	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75648	I -4 2 d	Si O2	SiO2(I4-2d)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75649	P n a 21	Si O2	ZnCl2	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75650	P 41 21 2	Si O2	α−Cristobalite#SiO2	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75651	P 43 21 2	Si O2	α−Cristobalite#SiO2	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75652	I m a 2	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75653	C 2 2 21	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75654	C 1 2/c 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75655	C 1 2/c 1	Si O2	HgMoO4	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75656	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75657	C 1 2 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75658	C 1 2 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75659	C 1 2 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75660	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75661	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75662	C 1 c 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75663	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75664	I 21 21 21	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	8	293.00	1994	-1	
75665	P 1 m 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75666	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75667	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75668	P 1 c 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75669	P 1 2 1	Si O2		Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75670	P 1	Si O2	SiO2(P1)	Framework silica structures generated using simulated annealing with a potential energy function based on an H6 Si2 O7 molecule	Physics and Chemistry of Minerals (1994) 21,  p. 269-284	4	293.00	1994	-1	
75740	P 42/m n m	Si O2	Rutile#TiO2	A quantum-mechanical study of the relative stability under pressure of Mg Si O3-ilmenite, Mg Si O3-perovskite, and Mg O-periclase + Si O2-stishovite assemblage	Physics and Chemistry of Minerals (1994) 21,  p. 285-293	2	293.00	1994	-1	
83331	I -4	Si O2		The structure of the low temperature (20 K) form of zeolite ZSM-11 derived frm (29)Si MAS NMR spectroscopy, lattice energy minimization and Rietveld refinement	Zeitschrift fuer Kristallographie (1996) 211,  p. 221-227	96	0.00	1996	-1	
85468	P 1 2/m 1	Si28 O56		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85469	P m n a	Si56 O112		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85470	C 1 2/m 1	Si56 O112		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85471	P b c m	Si56 O112		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85472	C 1 2/m 1	Si56 O112		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85473	C m c a	Si112 O224		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85474	C 1 2/m 1	Si56 O112		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
85475	C m c a	Si112 O224		A model for the structure of the large-pore zeolite SSZ-31	Journal of the American Chemical Society (1997) 119,  p. 3732-3744	1	293.00	1997	-1	
86548	P 1 21/m 1	Si O2		Decasils, a new order-disorder family of microporous silicas	Zeolites (1995) 15,  p. 388-399	24	293.00	1995	-1	
86549	P 4 m m	Si O2		Decasils, a new order-disorder family of microporous silicas	Zeolites (1995) 15,  p. 388-399	48	293.00	1995	-1	
89700	P 6/m m m	Si48 O96		De novo prediction of inorganic structures developed through automated assembly of secondary building units (AASBU method)	Angewandte Chemie, International Edition (2000) 39, (13) p. 2270-2275	1	293.00	2000	-1	
89793	R -3 c H	Si38 O76		The crystal structure of thornasite, Na12 Th3 (Si8 O19)4 (H2 O)18: a novel interrupted silicate framework	American Mineralogist (2000) 85,  p. 1521-1525	6	293.00	2000	-1	
90860	P 42/m n m	(Ti0.9 Sn0.1) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90861	P 42/m n m	(Ti0.8 Sn0.2) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90862	P 42/m n m	(Ti0.7 Sn0.3) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90863	P 42/m n m	(Ti0.6 Sn0.4) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90864	P 42/m n m	(Ti0.5 Sn0.5) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90865	P 42/m n m	(Ti0.4 Sn0.6) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90866	P 42/m n m	(Ti0.3 Sn0.7) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90867	P 42/m n m	(Ti0.2 Sn0.8) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
90868	P 42/m n m	(Ti0.1 Sn0.9) O2	Rutile#TiO2	Oxygen position, octahedral distortion, and bond-valence parameter from bond lengths in Ti1-x Snx O2 (0<x<1)	Journal of the American Ceramic Society (2000) 83, (12) p. 3205-3207	2	293.00	2000	-1	
93891	P -3 m 1	Ir Te2	BaSi2#EuGe2	Theoretical study of possible iridium ditelluride phases attainable under high pressure	Journal of Solid State Chemistry (2001) 162,  p. 63-68	1	293.00	2001	-1	
93892	C 1 2/m 1	Ir Te2	IrTe2	Theoretical study of possible iridium ditelluride phases attainable under high pressure	Journal of Solid State Chemistry (2001) 162,  p. 63-68	6	293.00	2001	-1	
93893	P a -3	Ir Te2	Pyrite#FeS2(cP12)	Theoretical study of possible iridium ditelluride phases attainable under high pressure	Journal of Solid State Chemistry (2001) 162,  p. 63-68	4	293.00	2001	-1	
93894	P n m a	Ir Te2		Theoretical study of possible iridium ditelluride phases attainable under high pressure	Journal of Solid State Chemistry (2001) 162,  p. 63-68	4	293.00	2001	-1	
93895	P 42/m n m	Ir Te2	Rutile#TiO2	Theoretical study of possible iridium ditelluride phases attainable under high pressure	Journal of Solid State Chemistry (2001) 162,  p. 63-68	2	293.00	2001	-1	
93896	P n m a	Ir Te2	IrS2	Theoretical study of possible iridium ditelluride phases attainable under high pressure	Journal of Solid State Chemistry (2001) 162,  p. 63-68	8	293.00	2001	-1	
94238	P 42/m n m	Ge O2	Rutile#TiO2	Ab initio studies of high-pressure transformations in Ge O2	Physical Review B: Condensed Matter and Materials Physics (2001) 63,  p. 1341061-1341067	2	293.00	2001	-1	
94239	P n n m	Ge O2	CaCl2	Ab initio studies of high-pressure transformations in Ge O2	Physical Review B: Condensed Matter and Materials Physics (2001) 63,  p. 1341061-1341067	2	293.00	2001	-1	
94240	P b c n	Ge O2	α−PbO2#Fe2N.94	Ab initio studies of high-pressure transformations in Ge O2	Physical Review B: Condensed Matter and Materials Physics (2001) 63,  p. 1341061-1341067	4	293.00	2001	-1	
94241	P a -3	Ge O2	PdF2(cP12)	Ab initio studies of high-pressure transformations in Ge O2	Physical Review B: Condensed Matter and Materials Physics (2001) 63,  p. 1341061-1341067	4	293.00	2001	-1	
94260	P n m a	Ba Si2	BaSi2(oP24)	Structural properties and thermodynamic stability of Ba-doped silicon type-I clathrates synthesized under high pressure	Physical Review B: Condensed Matter and Materials Physics (2001) 64,  p. 0452061-0452069	8	293.00	2001	-1	
94688	P a -3	Cu Se2	Pyrite#FeS2(cP12)	Klockmannite, Cu Se: structure, properties and phase stability from ab initio modelling	Acta Crystallographica, Section B: Structural Science (2002) 58,  p. 437-447	4	293.00	2002	-1	
94869	R -3 m H	Cu (C N)	AgCN	Cu C N : a polymorphic material. Structure of one form determined from total neutron diffraction	Inorganic Chemistry (2002) 41,  p. 4990-4992	3	10.00	2002	-1	
96739	F m -3 m	K2 Te	Fluorite#CaF2	Crystalline intermetallic compounds in the K-Te system: the Zintl-Klemm principle revisited	Physical Review B: Condensed Matter and Materials Physics (2002) 66,   Article ID 094105 (p. 1-15)	4	293.00	2002	-1	
96774	P n n m	Ti2 Se	Ta2P	Structure and stability of alpha- and beta-(Ti2 Se). Electron diffraction versus density-functional theory calculations	Acta Crystallographica, Section A: Foundations of Crystallography (2003) 59,  p. 18-21	12	293.00	2003	-1	
96775	P n m a	Ti2 Se	Sc2Te	Structure and stability of alpha- and beta-(Ti2 Se). Electron diffraction versus density-functional theory calculations	Acta Crystallographica, Section A: Foundations of Crystallography (2003) 59,  p. 18-21	12	293.00	2003	-1	
98452	P 1 21 1	Ag2 S		Electronic structure of Ag2 S, band calculation and photoelectron spectroscopy	Solid State Ionics (2003) 158,  p. 167-175	2	293.00	2003	-1	
98453	P 1 21 1	Ag2 S		Electronic structure of Ag2 S, band calculation and photoelectron spectroscopy	Solid State Ionics (2003) 158,  p. 167-175	2	293.00	2003	-1	
98454	P 1 21 1	Ag2 S		Electronic structure of Ag2 S, band calculation and photoelectron spectroscopy	Solid State Ionics (2003) 158,  p. 167-175	2	293.00	2003	-1	
98628	P 32 2 1	Si O2	Quartz(low)#SiO2	Theoretical investigation of the solid state reaction of silicon nitride and silicon dioxide forming silicon oxynitride (Si2 N2 O) under pressure	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2003) 629,  p. 1737-1750	3	293.00	2003	-1	
98629	P 32 2 1	Si O2	Quartz(low)#SiO2	Theoretical investigation of the solid state reaction of silicon nitride and silicon dioxide forming silicon oxynitride (Si2 N2 O) under pressure	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2003) 629,  p. 1737-1750	3	293.00	2003	-1	
98631	C 1 2/c 1	Si O2	Coesite#SiO2	Theoretical investigation of the solid state reaction of silicon nitride and silicon dioxide forming silicon oxynitride (Si2 N2 O) under pressure	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2003) 629,  p. 1737-1750	16	293.00	2003	-1	
98632	P 42/m n m	Si O2	Rutile#TiO2	Theoretical investigation of the solid state reaction of silicon nitride and silicon dioxide forming silicon oxynitride (Si2 N2 O) under pressure	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2003) 629,  p. 1737-1750	2	293.00	2003	-1	
98633	P 42/m n m	Si O2	Rutile#TiO2	Theoretical investigation of the solid state reaction of silicon nitride and silicon dioxide forming silicon oxynitride (Si2 N2 O) under pressure	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2003) 629,  p. 1737-1750	2	293.00	2003	-1	
150276	C m c a	Fe Ge2	FeSi2(oS48)	Electronic structure of beta-(Fe (Si2-x Gex)) ternaries	Journal of Solid State Chemistry (2002) 169,  p. 19-23	16	293.00	2002	-1	
150462	C 1 2/m 1	Mn O2		On the structural defects in synthetic gamma-(Mn O2)s	Journal of Solid State Chemistry (2004) 177,  p. 4706-4723	6	293.00	2004	-1	
151466	I 4/m c m	Hf2 Ni	CuAl2	FP-LAPW study of Hf2 Ni: structure, electronic properties and electric field gradients	Journal of the Physical Society of Japan (2004) 73, (8) p. 2158-2163	4	293.00	2004	-1	
153162	F m -3 m	Al (P O4)		A coupled electron diffraction and rigid unit mode (RUM) study of the crystal chemistry of some zeotypic Al P O4 compounds	Journal of Solid State Chemistry (2005) 178,  p. 2647-2657	20	293.00	2005	-1	
154012	C m c a	Ru Si2	FeSi2(oS48)	Structural, electronic and optical properties of a new binary phase - ruthenium disilicide	Physica Status Solidi B: Basic Solid State Physics (2005) 242, (14) p. 2864-2871	16	293.00	2005	-1	
154013	P 4/m m m	Ru Si2	FeSi2	Structural, electronic and optical properties of a new binary phase - ruthenium disilicide	Physica Status Solidi B: Basic Solid State Physics (2005) 242, (14) p. 2864-2871	1	293.00	2005	-1	
154014	F m -3 m	Ru Si2	Fluorite#CaF2	Structural, electronic and optical properties of a new binary phase - ruthenium disilicide	Physica Status Solidi B: Basic Solid State Physics (2005) 242, (14) p. 2864-2871	4	293.00	2005	-1	
154431	R -3 m H	Ca Si2	CaSi2(hR6)	Lattice stability of Ca, Sr and Yb silicides	Intermetallics (2006) 14,  p. 1472-1486	6	293.00	2006	-1	
154432	P -3 m 1	Ca Si2	EuGe2#PtTe2	Lattice stability of Ca, Sr and Yb silicides	Intermetallics (2006) 14,  p. 1472-1486	1	293.00	2006	-1	
154433	P 6/m m m	Ca Si2	AlB2	Lattice stability of Ca, Sr and Yb silicides	Intermetallics (2006) 14,  p. 1472-1486	1	293.00	2006	-1	
154434	I 41/a m d Z	Ca Si2	ThSi2	Lattice stability of Ca, Sr and Yb silicides	Intermetallics (2006) 14,  p. 1472-1486	4	293.00	2006	-1	
154435	P 43 3 2	Sr Si2	SrSi2	Lattice stability of Ca, Sr and Yb silicides	Intermetallics (2006) 14,  p. 1472-1486	4	293.00	2006	-1	
154436	I 41/a m d Z	Sr Si2	ThSi2	Lattice stability of Ca, Sr and Yb silicides	Intermetallics (2006) 14,  p. 1472-1486	4	293.00	2006	-1	
155987	P n m a	Ca H2	Cotunnite#PbCl2	Hydrogen self-dynamics in orthorhombic alkaline earth hydrides through incoherent inelastic neutron scattering	Journal of Alloys and Compounds (2007) 427,  p. 18-24	4	293.00	2007	-1	
155988	P n m a	Sr H2	Cotunnite#PbCl2	Hydrogen self-dynamics in orthorhombic alkaline earth hydrides through incoherent inelastic neutron scattering	Journal of Alloys and Compounds (2007) 427,  p. 18-24	4	293.00	2007	-1	
