CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
168280	P 63/m m c	Os C2	PtN2	Investigation of osmium carbides with various stoichiometries: first-principles calculations	Journal of Applied Physics (Melville, NY, United States) (2010) 107,   Article ID 053506 (p. 1-6)	2	293.00	2010	-1	
168286	C 1 2/m 1	Bi Hf2		Hafnium binary alloys from experiments and first principles	Acta Materialia (2010) 58,  p. 2887-2897	4	293.00	2010	-1	
168287	I 4/m m m	Hf2 Tl	CaC2-I(I4/mmm)	Hafnium binary alloys from experiments and first principles	Acta Materialia (2010) 58,  p. 2887-2897	2	293.00	2010	-1	
168323	P 42/n Z	Ti H0.5		Structural stability and hydrogen diffusion in Ti Hx alloys	Solid State Communications (2010) 150,  p. 1715-1718	4	293.00	2010	-1	
168329	F m -3 m	Ti H2	Fluorite#CaF2	Structural stability and hydrogen diffusion in Ti Hx alloys	Solid State Communications (2010) 150,  p. 1715-1718	4	293.00	2010	-1	
168407	P n m a	Ba Si2	BaSi2(oP24)	Assessment of the possibility of band gap widening of Ba Si2 by incorporation of carbon	Intermetallics (2010) 18,  p. 1432-1436	8	293.00	2010	-1	
168408	P n m a	Ba C2		Assessment of the possibility of band gap widening of Ba Si2 by incorporation of carbon	Intermetallics (2010) 18,  p. 1432-1436	8	293.00	2010	-1	
168409	I 4/m m m	Ba Si2	CaC2-I(I4/mmm)	Assessment of the possibility of band gap widening of Ba Si2 by incorporation of carbon	Intermetallics (2010) 18,  p. 1432-1436	2	293.00	2010	-1	
168410	I 4/m m m	Ba C2	CaC2-I(I4/mmm)	Assessment of the possibility of band gap widening of Ba Si2 by incorporation of carbon	Intermetallics (2010) 18,  p. 1432-1436	2	293.00	2010	-1	
168418	C m c m	Si2 Ti	ZrSi2	Structural stability of intermetallic phases in the Si-Ti system. Point defects and chemical potentials in D88-Si3Ti5 phase	Intermetallics (2010) 18,  p. 1444-1454	4	293.00	2010	-1	
168419	F d d d Z	Si2 Ti	TiSi2	Structural stability of intermetallic phases in the Si-Ti system. Point defects and chemical potentials in D88-Si3Ti5 phase	Intermetallics (2010) 18,  p. 1444-1454	8	293.00	2010	-1	
168446	F m -3 m	Li2 Se	Fluorite#CaF2	Electronic and optical properties of alkali metal selenides in anti- Ca F2 crystal structure from first-principles	Journal of Alloys and Compounds (2010) 503,  p. 10-18	4	293.00	2010	-1	
168447	F m -3 m	Na2 Se	Fluorite#CaF2	Electronic and optical properties of alkali metal selenides in anti- Ca F2 crystal structure from first-principles	Journal of Alloys and Compounds (2010) 503,  p. 10-18	4	293.00	2010	-1	
168448	F m -3 m	K2 Se	Fluorite#CaF2	Electronic and optical properties of alkali metal selenides in anti- Ca F2 crystal structure from first-principles	Journal of Alloys and Compounds (2010) 503,  p. 10-18	4	293.00	2010	-1	
168449	F m -3 m	Rb2 Se	Fluorite#CaF2	Electronic and optical properties of alkali metal selenides in anti- Ca F2 crystal structure from first-principles	Journal of Alloys and Compounds (2010) 503,  p. 10-18	4	293.00	2010	-1	
168800	F m -3 m	Sr F2	Fluorite#CaF2	First-principles study of structural stabilities, electronic and optical properties of Sr F2 under high pressure	Chinese Physics Letters (2009) 26,   Article ID 077103 (p. 1-4)	4	293.00	2009	-1	
168801	P 63/m m c	Sr F2	Ni2In#Co1.75Ge	First-principles study of structural stabilities, electronic and optical properties of Sr F2 under high pressure	Chinese Physics Letters (2009) 26,   Article ID 077103 (p. 1-4)	2	293.00	2009	-1	
168831	P 42/m n m	Mg H2	Rutile#TiO2	First-principles modelling of magnesium titanium hydrides	Journal of Physics: Condensed Matter (2010) 22,   Article ID 074208 (p. 1-13)	2	293.00	2010	-1	
168832	P a -3	Mg H2		First-principles modelling of magnesium titanium hydrides	Journal of Physics: Condensed Matter (2010) 22,   Article ID 074208 (p. 1-13)	4	293.00	2010	-1	
168833	F m -3 m	Ti H2	Fluorite#CaF2	First-principles modelling of magnesium titanium hydrides	Journal of Physics: Condensed Matter (2010) 22,   Article ID 074208 (p. 1-13)	4	293.00	2010	-1	
168834	P 42/m n m	Ti H2	TeO2	First-principles modelling of magnesium titanium hydrides	Journal of Physics: Condensed Matter (2010) 22,   Article ID 074208 (p. 1-13)	2	293.00	2010	-1	
168950	C 1 2/m 1	Sc2 Zr		Structure maps for hcp metals from first-principles calculations	Physical Review B: Condensed Matter and Materials Physics (2010) 81,   Article ID 174106 (p. 1-6)	4	293.00	2010	-1	
168953	P -3 m 1	Re Ti2	Cd2Ce	Structure maps for hcp metals from first-principles calculations	Physical Review B: Condensed Matter and Materials Physics (2010) 81,   Article ID 174106 (p. 1-6)	1	293.00	2010	-1	
168955	F m m m	Be2 Zn		Structure maps for hcp metals from first-principles calculations	Physical Review B: Condensed Matter and Materials Physics (2010) 81,   Article ID 174106 (p. 1-6)	4	293.00	2010	-1	
169007	P 63/m m c	Sn Ti2	Ni2In#Co1.75Ge	Structural stability of intermetallic phases in the Sn-Ti system	CALPHAD: Computer Coupling of Phase Diagrams and Thermochemistry (2009) 33,  p. 250-259	2	293.00	2009	-1	
169030	F m -3 m	Ce O2	Fluorite#CaF2	Structure of Ce1-x Snx O2 and its relation to oxygen storage property from first-principles analysis	Journal of Chemical Physics (2010) 132,   Article ID 194702 (p. 1-8)	4	293.00	2010	-1	
169031	P 42/m n m	Ce O2	Rutile#TiO2	Structure of Ce1-x Snx O2 and its relation to oxygen storage property from first-principles analysis	Journal of Chemical Physics (2010) 132,   Article ID 194702 (p. 1-8)	2	293.00	2010	-1	
169033	P 42/m n m	Sn O2	Rutile#TiO2	Structure of Ce1-x Snx O2 and its relation to oxygen storage property from first-principles analysis	Journal of Chemical Physics (2010) 132,   Article ID 194702 (p. 1-8)	2	293.00	2010	-1	
169034	F m -3 m	Sn O2	Fluorite#CaF2	Structure of Ce1-x Snx O2 and its relation to oxygen storage property from first-principles analysis	Journal of Chemical Physics (2010) 132,   Article ID 194702 (p. 1-8)	4	293.00	2010	-1	
169036	F m -3 m	(Ce0.75 Sn0.25) O2	Fluorite#CaF2	Structure of Ce1-x Snx O2 and its relation to oxygen storage property from first-principles analysis	Journal of Chemical Physics (2010) 132,   Article ID 194702 (p. 1-8)	4	293.00	2010	-1	
169038	F m -3 m	(Ce0.5 Sn0.5) O2	Fluorite#CaF2	Structure of Ce1-x Snx O2 and its relation to oxygen storage property from first-principles analysis	Journal of Chemical Physics (2010) 132,   Article ID 194702 (p. 1-8)	4	293.00	2010	-1	
169435	P 63/m m c	Sc Mn2	Laves(2H)#MgZn2	Elastic and electronic properties of Sc Mn2 from first-principles calculations	Physica B: Condensed Matter (Amsterdam, Netherlands) (2010) 405,  p. 4812-4817	4	293.00	2010	-1	
169569	P a -3	Ni S2	Pyrite#FeS2(cP12)	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
169570	P n n m	Ni S2	Marcasite#FeS2(oP6)	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169571	P b c n	Ni S2	α−PbO2#Fe2N.94	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
169572	P 63/m m c	Ni S2		Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169573	F m -3 m	Ni S2	Fluorite#CaF2	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
